,authorized_flag,card_id,city_id,category_1,installments,category_3,merchant_category_id,merchant_id,month_lag,purchase_amount,purchase_date,category_2,state_id,subsector_id
0,Y,C_ID_4e6213e9bc,88,N,0,A,80,M_ID_e020e9b302,-8,-0.70333091,2017-06-25 15:33:07,1.0,16,37
1,Y,C_ID_4e6213e9bc,88,N,0,A,367,M_ID_86ec983688,-7,-0.73312848,2017-07-15 12:10:45,1.0,16,16
2,Y,C_ID_4e6213e9bc,88,N,0,A,80,M_ID_979ed661fc,-6,-0.720386,2017-08-09 22:04:29,1.0,16,37
3,Y,C_ID_4e6213e9bc,88,N,0,A,560,M_ID_e6d5ae8ea6,-5,-0.73535241,2017-09-02 10:06:26,1.0,16,34
4,Y,C_ID_4e6213e9bc,88,N,0,A,80,M_ID_e020e9b302,-11,-0.72286538,2017-03-10 01:14:19,1.0,16,37
5,Y,C_ID_4e6213e9bc,333,N,0,A,80,M_ID_50af771f8d,0,-0.73488659,2018-02-24 08:45:05,1.0,9,37
6,Y,C_ID_4e6213e9bc,88,N,0,A,278,M_ID_5e8220e564,-11,-0.71685477,2017-03-21 00:10:51,1.0,16,37
7,Y,C_ID_4e6213e9bc,3,N,0,A,80,M_ID_9d41786a50,-3,-0.65704925,2017-11-18 20:05:55,1.0,16,37
8,Y,C_ID_4e6213e9bc,88,N,0,A,80,M_ID_979ed661fc,-8,-0.73796702,2017-06-01 22:02:56,1.0,16,37
9,Y,C_ID_4e6213e9bc,88,N,0,A,80,M_ID_74ba14b5fc,-11,-0.71535212,2017-03-16 15:41:22,1.0,16,37
10,Y,C_ID_4e6213e9bc,88,N,0,A,683,M_ID_1449f22bfb,-9,-0.73413526,2017-05-09 12:42:07,1.0,16,34
11,Y,C_ID_4e6213e9bc,-1,N,0,A,560,M_ID_7c5e93af2f,0,-0.72792931,2018-02-08 20:05:45,,-1,34
12,Y,C_ID_4e6213e9bc,88,N,0,A,80,M_ID_e020e9b302,-8,-0.74164852,2017-06-08 18:02:29,1.0,16,37
13,Y,C_ID_4e6213e9bc,88,N,0,A,130,M_ID_e8fb39882d,-7,-0.72737333,2017-07-14 12:59:38,1.0,16,41
14,Y,C_ID_4e6213e9bc,88,N,0,A,80,M_ID_97e86eae5f,-4,-0.73188128,2017-10-24 13:29:29,1.0,16,37
15,Y,C_ID_4e6213e9bc,88,N,0,A,560,M_ID_e6d5ae8ea6,-8,-0.73819242,2017-06-14 07:40:48,1.0,16,34
16,Y,C_ID_4e6213e9bc,69,N,0,A,879,M_ID_00a6ca8a8a,0,-0.72587068,2018-02-07 12:19:33,1.0,9,29
17,Y,C_ID_4e6213e9bc,88,N,0,A,278,M_ID_21e1552dab,-7,-0.73488659,2017-07-07 13:03:27,1.0,16,37
18,Y,C_ID_4e6213e9bc,233,N,0,A,80,M_ID_4524a562f3,-1,-0.69972455,2018-01-08 23:54:29,1.0,9,37
19,Y,C_ID_4e6213e9bc,88,N,0,A,80,M_ID_e020e9b302,-6,-0.74540514,2017-08-11 17:53:00,1.0,16,37
20,Y,C_ID_4e6213e9bc,88,N,0,A,278,M_ID_21e1552dab,-6,-0.73488659,2017-08-30 12:53:57,1.0,16,37
21,Y,C_ID_4e6213e9bc,88,N,0,A,80,M_ID_979ed661fc,-7,-0.73796702,2017-07-01 21:27:23,1.0,16,37
22,Y,C_ID_4e6213e9bc,88,N,0,A,80,M_ID_979ed661fc,-7,-0.7395448,2017-07-14 22:06:02,1.0,16,37
23,Y,C_ID_4e6213e9bc,88,N,0,A,278,M_ID_e020e9b302,-9,-0.72699767,2017-05-06 12:29:50,1.0,16,37
24,Y,C_ID_4e6213e9bc,3,N,0,A,511,M_ID_79db784180,-13,-0.73188128,2017-01-20 09:16:43,1.0,16,7
25,Y,C_ID_4e6213e9bc,333,N,0,A,80,M_ID_50af771f8d,0,-0.73563791,2018-02-26 14:54:38,1.0,9,37
26,Y,C_ID_4e6213e9bc,88,N,0,A,278,M_ID_e020e9b302,-10,-0.72647174,2017-04-29 12:30:03,1.0,16,37
27,Y,C_ID_4e6213e9bc,88,N,0,A,80,M_ID_979ed661fc,-8,-0.72677227,2017-06-23 21:43:17,1.0,16,37
28,Y,C_ID_4e6213e9bc,88,N,0,A,278,M_ID_21e1552dab,-11,-0.72136273,2017-03-10 15:46:19,1.0,16,37
29,Y,C_ID_4e6213e9bc,88,N,0,A,80,M_ID_dc7356f06d,-6,-0.69221129,2017-08-05 19:10:32,1.0,16,37
30,Y,C_ID_4e6213e9bc,-1,N,0,A,80,M_ID_98b342c0e3,0,-0.72436803,2018-02-27 09:04:48,,-1,37
31,Y,C_ID_4e6213e9bc,88,N,0,A,80,M_ID_e020e9b302,-6,-0.73789189,2017-08-24 17:53:44,1.0,16,37
32,Y,C_ID_4e6213e9bc,88,N,0,A,842,M_ID_980d5f51ae,-5,-0.7072378,2017-09-25 00:23:21,1.0,16,37
33,Y,C_ID_4e6213e9bc,88,N,0,A,278,M_ID_21e1552dab,-5,-0.73488659,2017-09-05 15:55:25,1.0,16,37
34,Y,C_ID_4e6213e9bc,88,N,0,A,278,M_ID_21e1552dab,-6,-0.73488659,2017-08-07 12:57:54,1.0,16,37
35,Y,C_ID_4e6213e9bc,69,N,0,A,561,M_ID_50f575c681,-5,-0.72737333,2017-09-16 15:19:37,1.0,9,7
36,Y,C_ID_4e6213e9bc,88,N,0,A,705,M_ID_28a12189ea,-4,-0.73792194,2017-10-20 14:08:25,1.0,16,33
37,Y,C_ID_4e6213e9bc,3,N,0,A,80,M_ID_9d41786a50,-5,-0.69446527,2017-09-09 23:13:28,1.0,16,37
38,Y,C_ID_4e6213e9bc,88,N,0,A,80,M_ID_979ed661fc,-6,-0.72632147,2017-08-25 21:13:12,1.0,16,37
39,Y,C_ID_4e6213e9bc,88,N,0,A,80,M_ID_e020e9b302,-4,-0.74014587,2017-10-19 19:53:21,1.0,16,37
40,Y,C_ID_4e6213e9bc,3,N,0,A,80,M_ID_9d41786a50,-10,-0.73563791,2017-04-14 20:40:43,1.0,16,37
41,Y,C_ID_4e6213e9bc,88,N,0,A,278,M_ID_e020e9b302,-7,-0.72737333,2017-07-13 12:55:44,1.0,16,37
42,Y,C_ID_4e6213e9bc,88,N,0,A,560,M_ID_e6d5ae8ea6,-9,-0.73554775,2017-05-09 08:31:54,1.0,16,34
43,Y,C_ID_4e6213e9bc,-1,N,0,A,278,,0,-0.71915383,2018-02-24 10:52:32,,-1,37
44,Y,C_ID_4e6213e9bc,88,N,0,A,80,M_ID_e020e9b302,-4,-0.74014587,2017-10-30 00:00:00,1.0,16,37
45,Y,C_ID_4e6213e9bc,88,N,0,A,80,M_ID_979ed661fc,-5,-0.73413526,2017-09-22 01:29:13,1.0,16,37
