merchant_id,merchant_group_id,merchant_category_id,subsector_id,numerical_1,numerical_2,category_1,most_recent_sales_range,most_recent_purchases_range,avg_sales_lag3,avg_purchases_lag3,active_months_lag3,avg_sales_lag6,avg_purchases_lag6,active_months_lag6,avg_sales_lag12,avg_purchases_lag12,active_months_lag12,category_4,city_id,state_id,category_2
M_ID_838061e48c,8353,792,9,-0.05747065,-0.05747065,N,E,E,-0.40000000,9.66666667,3,-2.25000000,18.66666667,6,-2.32000000,13.91666667,12,N,242,9,1.00000000
M_ID_9339d880ad,3184,840,20,-0.05747065,-0.05747065,N,E,E,-0.72000000,1.75000000,3,-0.74000000,1.29166667,6,-0.57000000,1.68750000,12,N,22,16,1.00000000
M_ID_e726bbae1e,447,690,1,-0.05747065,-0.05747065,N,E,E,-82.13000000,260.00000000,2,-82.13000000,260.00000000,2,-82.13000000,260.00000000,2,N,-1,5,5.00000000
M_ID_a70e9c5f81,5026,792,9,-0.05747065,-0.05747065,Y,E,E,,1.66666667,3,,4.66666667,6,,3.83333333,12,Y,-1,-1,
M_ID_64456c37ce,2228,222,21,-0.05747065,-0.05747065,Y,E,E,,0.50000000,3,,0.36111111,6,,0.34722222,12,Y,-1,-1,
M_ID_a0915f62b5,20201,87,27,-0.05747065,-0.05747065,N,E,E,,1.00000000,3,,3.66666667,6,,3.83333333,12,Y,160,21,5.00000000
M_ID_bfd41933db,33861,792,9,-0.05747065,-0.05747065,N,E,E,,2.83333333,3,,4.83333333,6,,6.33333333,12,N,60,16,1.00000000
M_ID_d8ff08219e,16430,529,20,-0.05747065,-0.05747065,Y,E,E,,1.00000000,3,,1.66666667,6,,1.50000000,11,Y,-1,-1,
M_ID_c5b389236d,37179,813,29,-0.05747065,-0.05747065,N,E,E,,115.00000000,3,,189.91666667,6,,197.00000000,7,N,248,15,1.00000000
M_ID_d2162ed113,112122,81,29,-0.05747065,-0.05747065,Y,E,E,,1.00000000,2,,1.00000000,2,,1.00000000,2,Y,-1,-1,
M_ID_492cfa500c,13462,369,27,-0.05747065,-0.05747065,N,E,E,,inf,3,,inf,6,,inf,12,N,-1,9,1.00000000
M_ID_73487fed26,17123,427,27,-0.05747065,-0.05747065,Y,E,E,,inf,3,,inf,6,,inf,12,Y,-1,-1,
M_ID_7149162139,2118,63,27,-0.05747065,-0.05747065,N,E,E,,inf,3,,inf,6,,inf,12,Y,88,16,1.00000000
M_ID_a31332e0bc,15040,427,27,-0.05747065,-0.05747065,N,E,E,,1.00000000,1,,1.00000000,1,,1.00000000,1,Y,158,15,1.00000000
M_ID_c9eb20f6f5,25449,45,18,-0.05747065,-0.05747065,N,E,E,,1.66666667,3,,1.66666667,3,,1.66666667,3,N,-1,16,1.00000000
M_ID_c9855bf3e3,321,690,1,-0.05747065,-0.05747065,Y,E,E,,1084.00000000,3,,3432.66666667,6,,5236.00000000,12,Y,-1,-1,
M_ID_c929bb59af,9514,2,20,-0.05747065,-0.05747065,N,E,E,69667.00000000,1.00000000,3,69667.00000000,1.00000000,3,69667.00000000,1.00000000,3,N,-1,20,5.00000000
M_ID_dd3ae3de10,30534,278,37,-0.05747065,-0.05747065,N,E,E,5180.00000000,4.00000000,3,9830.00000000,4.16666667,6,15826.00000000,5.60000000,10,Y,11,23,2.00000000
M_ID_dc671140d0,21536,278,37,-0.05747065,-0.05747065,N,E,E,7133.00000000,4.66666667,3,17566.00000000,4.50000000,6,19594.00000000,6.00000000,9,Y,143,5,5.00000000
M_ID_7551d55443,16010,298,10,-0.05747065,-0.05747065,N,E,E,109733.00000000,18.66666667,3,118433.00000000,19.00000000,6,217857.00000000,35.41666667,12,N,282,18,2.00000000
M_ID_a8effe9197,577,497,27,-0.05747065,-0.05747065,N,E,E,3897.00000000,1.33333333,3,2924.00000000,1.25000000,4,2924.00000000,1.25000000,4,N,-1,16,1.00000000
M_ID_39643c7d93,22146,309,21,-0.05747065,-0.05747065,N,E,E,608433.00000000,5.66666667,3,776683.00000000,7.00000000,6,749804.00000000,6.00000000,12,N,-1,16,1.00000000
M_ID_07930b58ae,11559,705,33,-0.05747065,-0.05747065,N,E,E,148515.00000000,76.66666667,3,245840.00000000,134.83333333,6,272061.00000000,151.45454545,11,N,123,19,3.00000000
M_ID_e16b20b50a,35,511,7,-0.05747065,-0.05747065,N,E,E,385833.00000000,148.66666667,3,464184.00000000,183.66666667,6,460206.00000000,184.33333333,9,N,126,4,4.00000000
M_ID_0f0334c393,39020,437,15,-0.05747065,-0.05747065,N,E,E,205863.00000000,3.33333333,3,1513959.00000000,33.66666667,6,2567408.00000000,61.16666667,12,N,272,9,1.00000000
M_ID_2be211b847,35,456,21,-0.05747065,-0.05747065,N,E,E,1.00000000,1.00000000,1,1.00000000,1.00000000,1,1.00000000,1.00000000,1,N,85,8,3.00000000
M_ID_0fa16b39ed,35,781,7,-0.05747065,-0.05747065,N,E,E,44436.00000000,11.33333333,3,93735.00000000,17.50000000,4,93735.00000000,17.50000000,4,N,140,9,1.00000000
M_ID_69618a786a,4760,703,29,-0.05747065,-0.05747065,N,E,E,360107.00000000,20.66666667,3,646764.00000000,37.33333333,6,683700.00000000,39.81818182,11,N,62,9,1.00000000
M_ID_3c87a47f6b,38953,703,29,-0.05747065,-0.05747065,N,E,E,624741.00000000,212.33333333,3,953792.00000000,329.16666667,6,827191.00000000,283.83333333,12,N,60,16,1.00000000
M_ID_c44ccc8110,4274,278,37,-0.05747065,-0.05747065,N,E,E,133863.00000000,66.00000000,3,133859.00000000,67.50000000,4,133859.00000000,67.50000000,4,Y,143,5,5.00000000
M_ID_43265162a8,3303,360,34,-0.05747065,-0.05747065,N,E,E,98382.50000000,65.66666667,3,129103.00000000,81.50000000,6,129103.00000000,81.50000000,6,N,-1,9,1.00000000
M_ID_f76aa241fd,13357,796,10,-0.05747065,-0.05747065,N,E,E,27944.66000000,0.83333333,3,46361.00000000,1.16666667,6,46772.66000000,1.07142857,7,N,63,9,1.00000000
M_ID_dd5589352a,3572,412,18,-0.05747065,-0.05747065,N,E,E,10653.60000000,3.33333333,3,19170.20000000,5.50000000,4,19170.20000000,5.50000000,4,N,-1,1,3.00000000
M_ID_1da47388ba,5219,792,9,-0.05747065,-0.05747065,N,E,E,2833.66000000,0.83333333,3,2472.33000000,0.75000000,6,3907.50000000,0.77777778,9,N,323,2,3.00000000
M_ID_b694de6ca2,3755,278,37,-0.05747065,-0.05747065,N,E,E,201934.57000000,166.00000000,3,222619.71000000,177.83333333,6,229487.00000000,181.83333333,12,N,-1,16,1.00000000
M_ID_eccdaae368,33916,332,2,-0.05747065,-0.05747065,N,E,E,1410.30000000,2.33333333,3,10923.50000000,12.83333333,6,16821.70000000,16.66666667,12,Y,200,18,2.00000000
